Item Code,Description,,U/M
C06-090701,RISER 12D PORT,,EA
C06-090702,RISER 12D STBD,,EA
C06-101800,BELLOWS SHROUD 7D,,EA
C06-102100,AUXILARAY DIFFUSER  ASSY 18D,,EA
C06-102401,RISER 8D PORT,,EA
C06-102502,RISER 8D STBD,,EA
C06-102601,RISER 8D PORT CAT C-9,,EA
C06-102702,RISER 8D STBD CAT C-9,,EA
C06-110101,CROSSOVER RISER 18D PORT,,EA
C06-110202,CROSSOVER RISER 18D STBD,,EA
C06-110301,INCLINE RISER 10D PORT,,EA
C06-110402,INCLINE RISER 10D STBD,,EA
C06-111401,RISER 10D P-I CAT C-32,,EA
C06-111501,RISER 10D P-O CAT C-32,,EA
C06-111602,RISER 10D S-O CAT C-32,,EA
C06-111702,RISER 10D S-O CAT C-32,,EA
C06-111901,RISER 8D PORT MAN 800 HP,,EA
C06-120201,RISER 16D P&S,,EA
C06-120800,RISER ASSY 5D,,EA
C07-010101,RISER 6D PORT,,EA
C07-010202,RISER 6D STBD,,EA
C07-010702,RISER 6D S-I,,EA
C07-010802,RISER 6D S-O,,EA
C07-010902,COLLECTOR WYE 6D x 6D x 8D STBD,,EA
C07-011300,COLLECTOR RISER 12D P&S,,EA
C07-022301,RISER ASSY 10D PORT,,EA
C07-022402,RISER ASSY 10D STBD,,EA
C07-030301,CROSSOVER COLLECTOR 10D PORT,,EA
C07-030402,CROSSOVER COLLECTOR 10D STBD,,EA
C07-030700,RISER ASSY 12D P&S,,EA
C07-031700,RISER ASSY 16D P&S,,EA
C07-033202,RISER ASSY 10D STBD,,EA
C07-033301,RISER ASYY 10D PORT,,EA
C07-033400,COLLECTOR ASSY 14D P&S,,EA
C07-033501,RISER ASSY 1of2 14D,,EA
C07-033502,RISER ASSY 1oF2 14D,,EA
C07-033601,RISER ASSY 2of2 14D,,EA
C07-033602,RISER ASSY 2of2 14D,,EA
C07-033701,MIXER TANK 16D PORT,,EA
C07-033702,MIXER TANK 16D STBD,,EA
C07-040100,ELBOW MIXER 8D X 90,,EA
C07-040201,MIXER TANK 19D FLANGED PORT,,EA
C07-040202,MIXER TANK 19D FLANGED STBD,,EA
C07-040301,RISER ASSY 16D PORT,,EA
C07-040302,RISER ASSY 16D STBD,,EA
C07-041001,COLLECTOR RISER 14D PORT,,EA
C07-041002,COLLECTOR RISER 14D STBD,,EA
C07-041100,COLLECTOR WYE 7x12,,EA
C07-041201,RISER ASSY 12D PORT,,EA
C07-041202,RISER ASSY 12D STBD,,EA
C07-041301,MIXER TANK 14D FLANGED PORT,,EA
C07-041302,MIXER TANK 14D FLANGED STBD,,EA
C07-041401,STALK 14D PORT,,EA
C07-041502,STALK 14D STBD,,EA
C07-042101,RISER COLLECTOR 12D PORT,,EA
C07-042102,RISER COLLECTOR 12D STBD,,EA
C07-042301,RISER CROSSOVER 6D PORT,,EA
C07-042402,RISER ASSY 6D STBD,,EA
C07-042501,RISER CROSSOVER 16D PORT,,EA
C07-042602,RISER CROSSOVER 16D STBD,,EA
C07-043101,RISER CROSSOVER 10D PORT,,EA
C07-043102,RISER CROSSOVER 10D STBD,,EA
C07-043201,RISER CROSSOVER 10D PORT,,EA
C07-043202,RISER CROSSOVER 10D STBD,,EA
C07-043801,CROSSOVER RISER 8D PORT,,EA
C07-043902,RISER ASSY. 8D STBD,,EA
C07-051601,RISER 8D PORT,,EA
C07-051702,RISER 8D STBD,,EA
C07-060300,ELBOW MIXER 8D X 90,,EA
C07-060401,CROSSOVER RISER 8D PORT,,EA
C07-060502,RISER 8D STBD,,EA
C07-060601,CROSSOVER RISER 6D PORT,,EA
C07-060702,RISER 6D STBD,,EA
C07-061301,CROSSOVER RISER 10D PORT,,EA
C07-061402,CROSSOVER RISER 10D STBD,,EA
C07-061801,CROSSOVER RISER 8D PORT,,EA
C07-061902,RISER 8D STBD,,EA
C07-062001,RISER ASSY 6D PORT,,EA
C07-062102,CROSSOVER RISER 6D STBD,,EA
C07-062501,CROSSOVER RISER 10D PORT,,EA
C07-062602,RISER 10D STBD,,EA
C07-062801,CROSSOVER RISER 14D PORT,,EA
C07-062902,CROSSOVER RISER 14D STBD,,EA
C07-063100,MIXER TANK 14D P & S,,EA
C07-063200,FLANGE ELBOW 14D P & S,,EA
C07-063501,COLLECTOR RISER 18D PORT,,EA
C07-063602,COLLECTOR RISER 18D STBD,,EA
C07-063700,MIXER TANK 18D P&S,,EA
C07-070900,RISER ASSY 4D VOLVO,,EA
C07-071001,CROSSOVER RISER 10D PORT,,EA
C07-071102,RISER ASSY 10D STBD,,EA
C07-071400,MIXER ELBOW 10D,,EA
C07-071502,CONNECTION TUBE STBD,,EA
C07-071600,CONNECTION ELBOW 8D,,EA
C07-071701,TEE 8D  MUFFLER OUTLET - PORT,,EA
C07-071802,TEE 8D  MUFFLER OUTLET - STBD,,EA
C07-071901,COLLECTOR  RISER 8D  - PORT,,EA
C07-072002,COLLECTOR RISER 8D STBD,,EA
C07-072101,INCLINE CROSSOVER 10D PORT,,EA
C07-072202,INCLINE CROSSOVER 10D STBD,,EA
C07-073201,CROSSOVER RISER 10D,,EA
C07-073302,RISER 10D,,EA
C07-073501,CONNECTION TUBE PORT,,EA
C07-073601,CONNECTION TUBE LONG PORT,,EA
C07-073702,CONNECTION TUBE LONG STBD,,EA
C07-080102,MIXER TANK 14D STBD PASSERELL,,EA
C07-080202,RAW WATER PI STBD PASSERELL,,EA
C07-080302,RISER STBD PASSERELL LA 84FT,,EA
C07-080401,RAW WATER PI PORT PASSERELL,,EA
C07-080501,RISER PORT PASSERELL,,EA
C07-081200,BYPASS STALK 18D P&S,,EA
C07-081300,RISER ASSY 16D P&S,,EA
C07-081400,ENGINE WATER PIPING P&S,,EA
C07-081500,RISER WATER PIPING P&S,,EA
C07-081800,PIPING  WATER 4D P&S,,EA
C07-090101,RISER ASSY 16D PORT,,EA
C07-090202,RISER ASSY 16D STBD,,EA
C07-090301,SIAMESE COLLECTOR 14D PORT,,EA
C07-090402,SIAMESE COLLECTOR 14D STBD,,EA
C07-090800,WATER PIPE P&S MTU 16V2000 M91,,EA
C07-091000,COLLECTOR WYE CAT C-32,,EA
C07-091100,CROSSOVER RISER 12D P&S,,EA
C07-091501,RISER 8D PORT CUMMINS# 4988589,,EA
C07-091601,RISER ASSY 8D STBD,,EA
C07-091602,CRSOVR RSR 8D STBD CUMMINS# 4988590,,EA
C07-091800,STALK 10D W/6D BYPASS P&S,,EA
C07-092700,ELBOW MIXER 6D X 90,,EA
C07-093001,INCLINE CROSSOVER 6D PORT,,EA
C07-093102,INCLINE CROSSOVER 6D STBD,,EA
C07-093301,RISER ASSY 10D PORT,,EA
C07-093402,RISER ASSY 10D STBD,,EA
C07-093800,RISER ASSY 6D,,EA
C07-093901,RISER ASSY 8D P-O,,EA
C07-094002,RISER ASSY 8D S-O,,EA
C07-094101,RISER ASY 8D P-I,,EA
C07-094202,RISR ASSY 8D S-I,,EA
C07-094401,INCLINE XOVER RISER 16D PORT,,EA
C07-094502,INCLINE XOVER RISER 16D STBD,,EA
C07-100401,CROSSOVER RISER 10D PORT,,EA
C07-100502,CROSSOVER RISR 10D STBD,,EA
C07-101401,CROSSOVER RISER 10D PORT,,EA
C07-101500,RISER 16D P&S,,EA
C07-101602,CROSSOVER RISR 10D STBD,,EA
C07-101701,RISER ASSY 6D PORT,,EA
C07-101900,STALK 10D W/ INTEGRATED BYPASS,,EA
C07-110600,LIFT MUFFLER GEN-CLEAN 6D,,EA
C07-111000,CROSSOVER RISER 14D P&S,,EA
C07-111301,CROSSOVER RISER 8D P-I,,EA
C07-111402,CROSSOVER RISER 8D S-I,,EA
C07-111501,RISER 8D P-O,,EA
C07-111602,RISER 8D S-O,,EA
C07-111801,CROSSOVER RISER 10D PORT,,EA
C07-111902,CROSSOVER RISR 10D STBD,,EA
C07-112101,CROSSOVER RISER 8D PORT,,EA
C07-112202,RISER 8D STBD,,EA
C07-112401,COLLECTOR WYE PORT,,EA
C07-112502,COLLECTOR WYE STBD,,EA
C07-112601,CROSSOVER RISER 10D PORT,,EA
C07-112702,CROSSOVER RISER 10D STBD,,EA
C07-112901,CROSSOVER RISER 6D PORT,,EA
C07-112902,FABRICATE AS DEFINED,,EA
C07-113002,RISER ASSY 6D STBD,,EA
C07-113201,RISER ASSY 8D PORT,,EA
C07-113302,CROSSOVER RISER 8D STBD,,EA
C07-113600,ELBOW MIXER 8D X 90,,EA
C07-113700,ELBOW MIXER 6D X 90,,EA
C07-120401,RISER ASSY 12D PORT,,EA
C07-120402,RISER ASSY 12D STBD,,EA
C07-120700,MIXER TANK 12D WELD-ON P&S,,EA
C07-120900,RISER ASSY 5D,,EA
C07-121501,RISER ASSY 12D PORT,,EA
C07-121601,INCLINE CROSSOVER 12D PORT,,EA
C07-121702,INCLINE CROSSOVER 12D STBD,,EA
C08-010300,FABRICATE AS DEFINED,,EA
C08-010301,CROSSOVER RISER 8D PORT,,EA
C08-010400,FABRICATE AS DEFINED,,EA
C08-010402,CROSSOVER RISER 8D STBD,,EA
C08-010501,CROSSOVER RISER 14D PORT,,EA
C08-010602,CROSSOVER RISER 14D STBD,,EA
C08-010700,BELLOWS SHROUD 10D,,EA
C08-010800,WATER PIPING 3D P&S,,EA
C08-010901,WATER PIPING 3D PORT,,EA
C08-011002,WATER PIPING 3D STBD,,EA
C08-011201,CROSSOVER RISER 16D P&S,,EA
C08-011301,CROSSOVER RISER 16D P&S,,EA
C08-012100,STALK 14D W/INTEGR BYPASS 6D,,EA
C08-012200,ELBOW MIXER DUPMP 8D X 90,,EA
C08-012300,MIXER ELBOW 6Dx90 CUMMINS# 4944681,,EA
C08-012301,RING DIFFUSER CUMMINS,,EA
C08-012600,FABRICATE AS DEFINED,,EA
C08-012700,MIXER TANK 14D FALNGED,,EA
C08-012801,INCLINE XOVER COLL 10D PORT,,EA
C08-012902,INCLINE XOVER COLL 10D STBD,,EA
C08-013001,RISER ASSY 16D PORT,,EA
C08-013200,MIXER TANK 14D (INCO),,EA
C08-013300,MIXER TANK 16D FLANGED P&S,,EA
C08-013301,WATER PIPING 2D PORT,,EA
C08-013400,RISER ASSY 16D PORT,,EA
C08-013402,RISER ASSY 16D STBD,,EA
C08-014102,WATER PIPING 2D STBD,,EA
C08-020201,CROSSOVER RISER 14D PORT,,EA
C08-020302,CROSSOVER RISER 14D STBD,,EA
C08-020700,FLANGED ELBOW CONN CUM#5262484,,EA
C08-020800,MIXER ELBOW 6DX90 CUMMINS# 4944680,,EA
C08-020900,RISER WATERCOOLED 4D,,EA
C08-021001,RISER 5D PORT,,EA
C08-021102,RISER 5D STBD,,EA
C08-022601,WATER COOLED RISER 8D PORT,,EA
C08-022702,WATER COOLED RISER 8D STBD,,EA
C08-030400,FABRICATE AS DEFINED,,EA
C08-030401,SINGLE STD RISER PORT,,EA
C08-030502,SINGLE STD CROSSOVER RISER,,EA
C08-030601,RISER/COLLECTOR PORT,,EA
C08-030702,RISER/COLLECTOR STBD,,EA
C08-031100,RISER ASSY 14D P&S,,EA
C08-031201,CROSSOVER RISER 8D PORT,,EA
C08-031302,RISER ASSY 8D STBD,,EA
C08-031500,COLLECTOR WYE 14D P&S,,EA
C08-031600,RISER ASSY 14D P&S,,EA
C08-031800,RAW WATER PIPING,,EA
C08-032001,INCL CROSSOVER RISER 12D PORT,,EA
C08-032102,INCL CROSSOVER RISER 12D STBD,,EA
C08-032400,RISER ASSY 5D P&S,,EA
C08-032500,RISER ASSY 12D P&S,,EA
C08-032800,5D CUMMINS MIXER ELBOW 316L,,EA
C08-033701,CROSSOVER RISER 6D PORT,,EA
C08-033802,RISER ASSY 6D STBD,,EA
C08-034000,COLLECTOR C-18 ACERT,,EA
C08-034100,ELBOW MIXER 10D X 45 DEG,,EA
C08-034200,MIXER TANK 12D FLANGED P&S,,EA
C08-040801,CROSSOVER RISER 8D PORT,,EA
C08-040902,CROSSOVER RISER 8D STBD,,EA
C08-050101,COLLECTOR ASSY 10D PORT,,EA
C08-050201,RISER ASSY 10D PORT,,EA
C08-050302,COLLECTOR ASSY 10D STBD,,EA
C08-050402,RISER ASSY 10D STBD,,EA
C08-050500,RISER ASSY W/C 16D P&S,,EA
C08-051300,MIXER ELBOW 8D W/C P&S,,EA
C08-051400,CROSSOVER RISER 8D W/C P&S,,EA
C08-051501,RISER XOVER COLL 10D PORT,,EA
C08-051602,RISER XOVER COLL 10D STBD,,EA
C08-052701,RISER ASSY 8D PORT,,EA
C08-052802,CROSSOVER RISER 8D STBD,,EA
C08-061100,RISER ASSY 16D P&S,,EA
C08-061200,SURGE TEE 16D X 16D P&S FRP,,EA
C08-061300,MIXER TANK 16D P&S 3.50D WATER,,EA
C08-061400,CROSSOVER RISER ASSY 1 & 2,,EA
C08-062300,RISER ASSY 3.5D STERN DR,,EA
C08-062500,ELBOW DUMP 3.5D INB,,EA
C08-062700,MIXER TANK 14.75D,,EA
C08-062800,HULL FITTING 12.75D,,EA
C08-062900,HULL FITTING 14.75D,,EA
C08-070200,RISER 10D PO & SO LYMAN MORSE,,EA
C08-070300,RISER 10D PI & SI LYMAN MORSE,,EA
C08-070400,CROSSOVER RISER 8D P&S I-B,,EA
C08-070500,RISR ASSY 8D P&S OUTBOARD,,EA
C08-070800,SURGE WYE P/S 14D OUTLET 10D I,,EA
C08-071300,RISER 6D P&S CAT C-9,,EA
C08-071500,DME SAMPLE RISER 8D,,EA
C08-071600,GENERATOR EXHAUST ASSY 4D,,EA
C08-071700,GENERATOR EXHAUST ASSY 1.75D,,EA
C08-071800,CROSSOVER RISER ASSY 1 & 2,,EA
C08-071900,MIXER TANK 16D P&S 3D WATER,,EA
C08-081201,RISER STD PORT 1 OF 4 CAT C-18,,EA
C08-081301,RISER STD PORT 2 OF 4 CAT C-18,,EA
C08-081401,RISER STD PORT 3 OF 4 CAT C-18,,EA
C08-081502,RISER STD STBD 1 OF 3 CAT C-18,,EA
C08-081602,RISER STD STBD 2 OF 3 CAT C-18,,EA
C08-081800,SIAMESE COLLECTOR 7D X 10D,,EA
C08-081900,RISER ASSY 12D P&S,,EA
C08-082000,MIXER TANK FLANGED 12 IPS P&S,,EA
C08-082100,STALK 12D W/6.63D BYPASS P&S,,EA
C08-082501,RISER/MIXER TANK 12D LAZZARA P,,EA
C08-087530,KIT OF 8 SETS 7/8-9X3.00 18-8,,EA
C08-090300,RISER ASSY 10D P&S,,EA
C08-090400,FLANGED MIXER TANK 12D,,EA
C08-090602,RISER/MIXER TANK 12D LAZZARA S,,EA
C08-090700,WATER PIPING 3D PORT LAZZARA,,EA
C08-091100,RISER ASSY 6D CAT C-18,,EA
C08-091201,RISER ASSY 7D CAT C-18 479HP,,EA
C08-091301,RISER ASSY 7D CAT C-18 479HP,,EA
C08-091400,MIXER TANK 8D IPS P&S C18 479HP,,EA
C08-091500,MIXER TANK 5D P&S C-18 479HP,,EA
C08-091702,RISER ASSY 7D CAT C-18 479HP,,EA
C08-091802,RISER ASSY 7D CAT C-18 479HP,,EA
C08-100300,"MIXER TANK 16D P&S 3.50"" WATER",,EA
C08-100400,CROSSOVER RISER ASSY 1 P&S C32,,EA
C08-100500,CROSSOVER RISER ASSY 2 P&S C32,,EA
C08-100600,COLLECTOR WYE P&S TRINITY C-32,,EA
C08-101200,RISER ASSY 5D,,EA
C08-102401,CROSSOVER RISER ASSY  8D PORT,,EA
C08-102502,SINGLE RISER ASSY  8D STBD,,EA
C08-110100,COLLECTOR ASSY 18D P&S,,EA
C08-110200,MITTERED ELBOW 18DX90 DEG P&S,,EA
C08-110300,BELLOWS ASSEMBLY 18D,,EA
C08-110400,MIXER TANK  20D,,EA
C08-110500,BYPASS MIXER ELBOW 8D,,EA
C08-120901,SINGLE RISER 10D PORT,,EA
C08-121002,CROSSOVER RISER 10D STBD,,EA
C-08-121002,FABRICATE AS DEFINED,,EA
C09-010100,COLLECTOR WYE SPECI.MTU 16V396,,EA
C09-010200,RISER TO MUFFLER 16D TO 18D,,EA
C09-010400,DRY STALK 20D P&S,,EA
C09-011900,MUFFLER TO BELLOWS  PORT,,EA
C09-011901,GEN DRY STACK DUCT PORT 3 OF 5,,EA
C09-012000,GEN DRY STACK DUCT P&S 4 OF 5,,EA
C09-012100,GEN DRY STACK DUCK P&S 5 OF 5,,EA
C09-012302,GEN DRY STACK DUCT PORT 3 OF 5,,EA
C09-012500,MUFFLER SUPPORT BASE DERECKTOR,,EA
C09-012600,MUFFLER SUPPORT DERECKTOR,,EA
C09-012901,INCLINE COLLECTOR  10D PORT,,EA
C09-013002,INCLINE COLLECTOR  10D STBD,,EA
C09-020500,RAIN CAP FOR DRY STACK DUCT 20,,EA
C09-020701,CROSSOVER RISER  PORT 6D,,EA
C09-020802,SINGLE RISER  STBD 6D,,EA
C09-022101,CROSSOVER COLLECTOR 10D PORT,,EA
C09-022202,CROSSOVER COLLECTOR 10D STBD,,EA
C09-031200,RISER P&S -PART 1 OF 4,,EA
C09-031300,RISER P&S -PART 2 OF 4,,EA
C09-031400,RISER P&S -PART 3 OF 4,,EA
C09-031500,MIXER TANK 10D-P&S-PART 4 OF 4,,EA
C09-032000,FLANGE ELBOW ASSY P&S,,EA
C09-032100,FLANGE ELBOW ASSY P&S,,EA
C09-032200,BULKHEAD SPOOL P&S,,EA
C09-032500,CROSSOVER RISER ASSY 1 P&S,,EA
C09-032600,CROSSOVER RISER ASSY 2 P&S,,EA
C09-032701,RISER COLLECTOR ASSY 8D PORT,,EA
C09-032802,RISER COLLECTOR ASSY 8D STBD,,EA
C09-040100,SINGLE CROSSOVER RISER 6D P-O,,EA
C09-040200,SINGLE CROSSOVER RISER 6D P-I,,EA
C09-040300,SINGLE CROSSOVER RISER 6D S-I,,EA
C09-040400,SINGLE CROSSOVER RISER 6D S-O,,EA
C09-040600,RISER ASSY 12D (P&S),,EA
C09-040700,X-OVER RISER ASSY  12D CAT C32,,EA
C09-052400,MUFFLER SUPPORT CRADLE,,EA
C09-052600,NITRILE GASKET FLANGE 5D,,EA
C09-060900,CROSSOVER COLLECTOR RISER 316L,,EA
C09-061000,MIXER TANK  15D REMOVABLE 25-6,,EA
C09-061700,RISER ASSY 16D P&S 82FT VIKING,,EA
C09-070200,C-18 ACERT COLLECTOR,,EA
C09-070700,RISER ASSY 6D (P&S OUTBOARD),,EA
C09-070800,X-OVER RISER ASSY 6D(P&S INBD),,EA
C09-071101,C-18 ACERT PORT RISER,,EA
C09-071202,C-18 ACERT STBD RISER,,EA
C09-080100,DRY MUFFLER DUAL 18DIN X 26D OUT,,EA
C09-080200,BELLOWS ASSY 26D  BOLLINGER-321,,EA
C09-080300,BELLOWS ASSY 26D  INCO 625,,EA
C09-080600,HARRIS BUOY EXH TUBE LW PORT,,EA
C09-080700,HARRIS BUOY EXH TUBE LW STBD,,EA
C09-080900,EXH TUBE  3D UPPER SECTION,,EA
C09-081400,MIXER ELBOW 8D 90DEG CUMMINS# 3965690,,EA
C09-081600,COLLECTOR WYE P&S T-48,,EA
C09-081700,CROSSOVER RISER ASSY 2 T-48,,EA
C09-081800,CROSSOVER RISER ASSY 1 T-48,,EA
C09-090700,MFFLER  WATERCOOLED 6.63D,,EA
C09-090800,CROSSOVER RISER 14D PORT&STBD,,EA
C09-100600,MUFFLER  10D IPS TRINITY T-45,,EA
C09-101600,SINGLE CROSSOVER RISER  PORT,,EA
C09-101700,SINGLE STD RISER  STBD 316L,,EA
C09-101800,RISER  TURBO TO MUFFLER ASSY 1,,EA
C09-101900,RISER  TURBO TO MUFFLER ASSY 2,,EA
C09-102001,RISER  MUFFLER TO MIXER PORT,,EA
C09-102102,RISER  MUFFLER TO MIXER STBD,,EA
C09-111100,SINGLE RISER ASSEMBLY  5D,,EA
C09-111300,SINGLE STD CROSSOVER RISER,,EA
C09-111801,COLLECTOR C-18  PORT,,EA
C09-111901,CROSSOVER RISER  10D PORT,,EA
C09-112002,COLLECTOR C-18  STBD,,EA
C09-112102,SINGLE RISER  10D STBD,,EA
C09-120101,MUFFLER  10D CAT3516 T-47 PORT,,EA
C09-120102,MUFFLER  10D CAT3516 T-47 STBD,,EA
C09-120201,MUFFLER  10D CAT3516 T-43 PORT,,EA
C09-120202,MUFFLER  10D CAT3516 T-43 STBD,,EA
C09-121100,MIXER TANK  FLG  6D,,EA
C09-121200,MIXER TANK  FLGD 12D,,EA
C09-121601,RISER ASSY  PORT KINGSHIP,,EA
C09-121702,RISER ASSY  STBD KINGSHIP,,EA
C09-121800,TANK MARMON FLGD 4.5D KINGSHIP,,EA
C10-010300,TURBO TRANSITION ADPTR 16D P&S,,EA
C10-010500,RISER ASSEMBLY 16D P&S,,EA
C10-011001,TURBO  ELBOW ADAPTER - LH&RH,,EA
C10-011002,TURBO  ELBOW ADAPTER - LH&RH,,EA
C10-011100,SIAMESE COLLECTOR 5X5X10D P&S,,EA
C10-011200,BELLOWS ASSEMBLY 10D,,EA
C10-011301,TOP EXHAUST COVER PLATE ASSY.,,EA
C10-011302,BOT. EXHAUST COVER PLATE ASSY.,,EA
C10-011401,RISER ASSY 10D - ASSY 1 OF 2,,EA
C10-011402,RISER ASSY 10D - ASSY 1 OF 2,,EA
C10-011501,RISER ASSY 10D - ASSY 2 OF 2,,EA
C10-011502,RISER ASSY 10D - ASSY 2 OF 2,,EA
C10-011600,BRACKET  EXHAUST RISER,,EA
C10-011700,MUFFLER MOUUNTING STRAP 24D,,EA
C10-011900,MUFFLER MODIFICATION DETAIL,,EA
C10-012000,MUFFLER  CRITICAL GRADE 10D,,EA
C10-012100,SINGLE RISER  6D,,EA
C10-012400,SINGLE RISER ASSY  6D,,EA
C10-012500,SINGLE RISER ASSY  4D,,EA
C10-013100,SIAMESE COLLCTR ASSY 10X10X18,,EA
C10-013200,DRY ELBOW RISER 18D 162DEG,,EA
C10-013300,MIXER TANK 20D W/AUX DIFSR ASY,,EA
C10-013400,WET ELBOW 20D W/FLGD BYPASS,,EA
C10-013500,BYPASS FLANGED ELBOW,,EA
C10-020101,SINGLE CROSSOVER RISER 8D PORT,,EA
C10-020202,SINGLE RISER ASSY  8D,,EA
C10-020301,CROSSOVER COLLECTOR 10D PORT,,EA
C10-020402,CROSSOVER COLLECTOR 10D STBD,,EA
C10-020500,TANK 12D W/WATER COOLED B-PASS,,EA
C10-022900,FLANGE  26D BOLLINGER DRY BEL,,EA
C10-023000,FLANGE  26D BOLLINGER WET BEL,,EA
C10-030100,RISER ASSY  6D S.INBOARD,,EA
C10-030200,RISER ASSY  6D S. INTERMEDIATE,,EA
C10-030300,RISER ASSY  6D S. OUTBOARD,,EA
C10-030400,MIXER TANK REMOVABLE  8D PWD,,EA
C10-031400,RISER ASSY 16D P&S  VIKING 70FT,,EA
C10-032000,COLLECTOR C-18 ACERT P&S,,EA
C10-032101,RISER X-OVER  10D PORT,,EA
C10-032202,SINGLE RISER 10D STBD,,EA
C10-040801,RISER X-OVER ASSY 6D PORT,,EA
C10-040902,RISER ASSY 6D STBD,,EA
C10-041200,INCLINE CROSSOVER RISERS P&S,,EA
C10-041201,INCLINE CROSSOVER RISERS PORT,,EA
C10-041202,INCLINE CROSSOVER RISERS STBD,,EA
C10-041300,MIXER TANK  REMOVABLE 20D,,EA
C10-041301,MIXER TANK  REMOVABLE 20D PORT,,EA
C10-041302,MIXER TANK  REMOVABLE 20D STBD,,EA
C10-042500,OUTLET ELBOW & TUBE ASSY P&S,,EA
C10-042501,OUTLET ELBOW & TUBE ASSY PORT,,EA
C10-042502,OUTLET ELBOW & TUBE ASSY STBD,,EA
C10-042602,OUTLET ELBOW & TUBE ASSY STBD,,EA
C10-043200,RISER ASS 16D P&S,,EA
C10-043700,RISER ASSY 16D P&S VIKING 76FT,,EA
C10-044301,MIXER TANK PORT LAZZARA 80 SMO,,EA
C10-044302,MIXER TANK STBD LAZZARA 80 SMO,,EA
C10-051201,RISER  ASSY 10D PORT,,EA
C10-051302,RISER  ASSY 10D STBD,,EA
C10-060701,TURBO TRANSITION ADPTR 16D P,,EA
C10-060702,TURBO TRANSITION ADPTR 16D S,,EA
C10-061001,RISER ASSEMBLY 16D PORT,,EA
C10-061002,RISER ASSEMBLY 16D STBD,,EA
C10-061201,MIXER TANK 19D FLANGED PORT,,EA
C10-061202,MIXER TANK 19D FLANGED STBD,,EA
C10-072601,WC MIXER ELBOW 6D W/ WYE TO 8D,,EA
C10-072702,WC MIXER ELBOW 6D STBD,,EA
C10-081600,MANIFOLD JOHNS-TOWER JT3828-3,,EA
C10-081700,MANIFOLD JOHNS-TOWER JT3828-2,,EA
C10-081800,MANIFOLD JOHNS-TOWER JT3828-1,,EA
C10-100500,MIXER TANK 14D  P&S,,EA
C10-100600,STALK 14D  P&S,,EA
C10-103000,RISER ASSY 1 OF 2 P&S,,EA
C10-103100,RISER ASSY 2 OF 2 P&S,,EA
C10-103200,MIXER TANK  12D P&S,,EA
C10-103300,"STALK 12D W/ 5"" PIPE BYPASS",,EA
C10-110100,SINGLE CROSSOVER RISER PI & SI,,EA
C10-110200,SINGLE STD RISER PO & SO,,EA
C10-121001,RISER  ASSY 10D PORT NEW DESIG,,EA
C11-010100,COLLECTOR WYE P&S C-18,,EA
C11-011201,CROSSOVER RISER  10D PORT,,EA
C11-011302,SINGLE RISER  10D STBD,,EA
C11-020800,RISER ASS 16D P&S MERRITT,,EA
C11-041600,RISER ASSY D6 IPS 500,,EA
C11-051000,RISER ASSY 10D MTU16V2000,,EA
C11-060200,MUFFLER 10D BYPASS 5086 P&S,,EA
C11-070100,INCL XOVER COLLECTOR 14D P&S,,EA
C11-080400,MIXER TANK  FLGD 12D,,EA
C11-081700,BYPASS 8D,,EA
C11-124101,MIX EL PTIB BYD54/60 3412 AL6XN,,EA
C11-124102,MIX ELL STIB BYD54/60 3412 AL6XN,,EA
C11-124201,MIX EL PTOB BYD54/60 3412 AL6XN,,EA
C11-124202,MIX ELL STOB BYD54/60 3412 AL6XN,,EA
C12-060100,RISER ASSY 5D VOLVO D6 IPS 500,,EA
C12-100900,"MUFFLER  8D IPS K-114  50""LG",,EA
C12-110400,ELBOW MIX DUMP DDC PN#23518123,,EA
C13-021100,COLL.ASSY 12D. P&S MAN2842 316,,EA
C-18 EXHAUST OUTLET,FABEICATE PROTOTYPE C-18,,EA
C91-071000,RISER COLL P/S LAG MATT,,EA
C91-101600,RISE/COLL P/S BYD35 V555 25-6,,EA
C91-102301,RISER ASSY  6D WTC 316 PORT,,EA
C92-091501,ELBOW MIX DUMP PTIB BY60 16V92,,EA
C92-091502,ELBOW MIX DUMP STIB BY60 16V92,,EA
C92-110602,"RISER ASSY ST REGAL 40"" 48594",,EA
C92-110701,"RISER ASSY PT REGAL 40"" 48593",,EA
C93-100401,RISER ASSY PT RINGHAVER 3116T,,EA
C93-100502,RISER ASSY ST RINGHAVER 3116T,,EA
C93-110601,RISER ASSY WISCONSIN P. 3116T,,EA
C93-110702,RISER ASSY WISCONSIN P. 3116T,,EA
C94-020401,RISER COLL PT BYD46-6 D2840LXE,,EA
C94-020402,RISER COLL ST BYD46-6 D2840LXE,,EA
C94-020403,ELBOW 7 x 7r 316L,,EA
C94-020404,ELBOW 7 x 7r 316L,,EA
C94-050201,RISER PT CATALINA 6BT210-250HP,,EA
C94-050202,RISER STBD CATALINA 6BT210-250,,EA
C94-070101,SURGE WYE  8D PORT,,EA
C94-070102,SURGE WYE  8D STBD,,EA
C94-070200,ELBOW MIXER P/S INBD 46BYD,,EA
C94-070201,ELBOW  MIXER DUMP 6D PORT INBD,,EA
C94-070202,ELBOW  MIXER DUMP 6D STBD INBD,,EA
C94-080200,SWIRL MIXER 14.00D TUBE,,EA
C94-081702,CROSS/O RIS PT CUM903 CUNI9010,,EA
C94-081801,CROSS/O RIS PT CUM903 CUNI9010,,EA
