Item Code,Description,,U/M
050-045777,"HHCS 7/8""-14 x 3.50""LG GAL GR5",,EA
050-046316,"HHCS 7/8""-9 X 3.50"" LG 316SS",,EA
050-046600,"BOLT USS 7/8""-9 x 3"" GR8",,EA
050-046665,"BOLT  HCS 3/8""-16 X 2.00"" 18-8 FULLY THREADED",,EA
050-046666,OBSOLETE SEE REMARKS,,EA
050-046667,"HHCS 1-1/4""-7 X 3.50"" LG 18-8",,EA
050-046668,"HHCS 1-1/4""-7 X 3.00"" LG 18-8",,EA
050-046669,"HHCS 1-1/8""-7 X 2.75"" LG 18-8",,EA
050-046677,OBSOLETE SEE REMARKS,,EA
050-047000,"HHCS 1/4""-28 x 1.00"" LG 18-8",,EA
050-047999,"HHCS 7/8""-9 X 5.00"" LG G8",,EA
050-048000,"HHCS 1/4""-28 x 1.25"" LG 18-8",,EA
050-049000,"HHCS 1/4""-28 x 1.50"" LG 18-8",,EA
050-049200,"HHCS 1/4""-20 x 2.00"" LG 18-8",,EA
050-050000,"HHCS 1/4""-28 x 2.50"" LG 18-8",,EA
050-050175,"BOLT HCS 1/2"" -13 X 1.75"" 18-8",,EA
050-050200,"BOLT  HCS 1/2""-13 X 2.00"" 18-8",,EA
050-050225,"BOLT  HCS 1/2""-13 X 2.25"" 18-8",,EA
050-050250,"BOLT  HCS 1/2""-13 X 2.50"" 18-8",,EA
050-050275,"BOLT  HCS 1/2""-13 X 2.75"" 18-8",,EA
050-050300,"BOLT  HCS 1/2""-13 X 3.00"" 18-8",,EA
050-050325,"BOLT  HCS 1/2""-13 X 3.25"" 18-8",,EA
050-051000,"HHCS 1/4""-28 x 3.00"" LG 18-8",,EA
050-052000,"HHCS 1/4""-28 x 3.50"" LG 18-8",,EA
050-052910,BOLT HHCS .31USS X 00.50L 18-8,,EA
050-053000,"HHCS 1/4""-28 x 4.00"" LG 18-8",,EA
050-053100,OBSOLETE,,EA
050-054000,BOLT HHCS .31USS X 1.25L 18-8,,EA
050-055000,BOLT HHCS .31USS X 1.50L 18-8,,EA
050-055555,OBSOLETE SEE REMARKS,,EA
050-055666,OBSOLETE SEE REMARKS,,EA
050-055766,OBSOLETE SEE REAMRKS,,EA
050-055767,OBSOLETE SEE REMARKS,,EA
050-055777,OBSOLETE SEE REMARKS,,EA
050-056000,BOLT HHCS .31USS X 2.00L 18-8,,EA
050-056100,"HHCS 1/4""-28 X 0.75"" LG 18-8",,EA
050-056444,"HHCS 1""-8 X 2.50"" LG  18-8",,EA
050-056555,OBSOLETE SEE REMARKS,,EA
050-056669,"HHCS 1-1/8""-7 X 3.00"" LG 18-8",,EA
050-057000,SCREW CSOH 1/4 USS x 1-1/4L 18,,EA
050-058000,SCREW CSOH 1/4 USS x 1-1/2L 18,,EA
050-058111,"HHCS 1/4""-28 X 1.00"" LG 62-5",,EA
050-058222,"HHCS 1/4""-28 X 1.25"" LG  I-625",,EA
